,role,text
24,assistant,"Труба стальная ф20 х 2,8 м 10 | м | 10
Труба стальная ф25 х 3,2 м 34 | м | 34
Труба стальная ф32 х 3,2 м 40 | м | 40
Труба стальная ф40 х 3,5 м 30 | м | 30
Труба стальная ф57х3,5 м 80 | м | 80
Труба стальная ф76х3,5 м 140 | м | 140
Труба стальная ф89х4,0 м 40 | м | 40
Труба стальная ф108х4,0 м 200 | м | 200
Труба стальная ф133х4,0 м 70 | м | 70
Труба стальная ф159х4,0 м 40 | м | 40
Труба стальная ф219х4,0 м 40 | м | 40
"
25,user,"




ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.





Труба ф159*7 — 52пог.м



Stroypraktika OOO





"
26,assistant,Труба ф159*7 52пог.м | мп | 52
27,user,"




ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.





   Привет.
Выстави пожалуйста счет на следующее:

Труба профильная 100х100(4) — 108 м.п.Труба профильная 50х50(3) — 168 м.п. 12-метровые режем пополам доставка до Московского шоссе (Самарские Термы)


С уважением, ООО «ГИЛЬДИЯ-М»
8-917-102-61-61 — Ильдар
(846) 922-58-70; 226-24-66
эл.почта: gib4400@mail.ru
сайт: ГИЛЬДИЯ-М.РФ




"
28,assistant,"Труба профильная 100х100(4) 108 мп | мп | 108
Труба профильная 50х50(3) 168 мп | мп |  168"
29,user,"




ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.


Здравствуйте

сделайте пожалуйста счет на оплату
труба 159х4.5- 1 труба с резкой по 3 метра, сталь любая из наличия
лист черн 1,0мм-1 шт
лист черн 1,2мм-1 шт
лист черн 1,5мм-1-3 шт
лист черн 2,0мм-1-2 шт,
мне надо чтобы это все влезло в Газель 1,5 тонн с учетом тех деталей которые сделали

--
С уважением,
Иван Целищев,
инженер отдела снабжения
НПК ''Энергоэффект''
+79028776231
snab@power-rus.ru

"
30,assistant,"Труба 159х4.5 1 труба по 3 метра | шт | 1
Лист черн 1.0мм 1 шт | шт | 1
Лист черн 1.2мм 1 шт | шт | 1
Лист черн 1.5мм 1-3 шт | шт | 3
Лист черн 2.0мм 1-2 шт | шт | 2
"
31,user,"

From: ПКФ КУБ-сервис <2667278@mail.ru>
Sent: Tuesday, May 14, 2024 5:29 PM
To: Юрин Дмитрий Васильевич <DVYUrin@agrupp.com>
Subject: заявка





Это сообщение отправлено из внешней сети!
Будьте внимательны при открытии вложений и ссылок.





добрый день, выставьте счет на


труба 219х8 ст 20   8732                   100м\п






Лист 10 ГОСТ 19903-2015/ 09Г2С-15 ГОСТ 19281-2014





2


шт









Круг В-16 ГОСТ 2590-2006/ Ст3сп ГОСТ 535-2005





1


т









Швеллер 30У ГОСТ 8240-97/09Г2С ГОСТ 19281-2014





36


м









Швеллер 12У ГОСТ 8240-97/09Г2С ГОСТ 19281-2014





144


м










Лист Б-ПН-8 ГОСТ 19903-2015/09Г2С ГОСТ 19281-2014





7,5


шт









Труба 108х10 ГОСТ 8732-78/09Г2С ГОСТ 8731-74





87


м










Труба 219х8 ГОСТ 8732-78/09Г2С ГОСТ 8731-74


60м\п










С уважением,  Максим




ООО ПКФ ''КУБ-сервис''


ИНН 6671406828


+7(343) 301-51-15


тел.+7(909)702-51-21
"
32,assistant,"Труба 219х8 ст 20 8732 100м\п  | мп | 100
Лист 10 ГОСТ 19903-2015/ 09Г2С-15 ГОСТ 19281-2014 2 шт | шт | 2
Круг В-16 ГОСТ 2590-2006/ Ст3сп ГОСТ 535-2005 1 т | т | 1
Швеллер 30У ГОСТ 8240-97/09Г2С ГОСТ 19281–2014 36 м | м | 36
Швеллер 12У ГОСТ 8240–97/09Г2С ГОСТ 19281–2014 144 м | м | 144
Лист Б–ПН–8 ГОСТ 19903–2015/09Г2С ГОСТ 19281–2014 7,5 шт | шт | 7.5
Труба 108х10 ГОСТ 8732–78/09Г2С ГОСТ 8731–74 87 м | м | 87
Труба 219х8 ГОСТ 8732–78/09Г2С ГОСТ 8731–74 60м\п | мп | 60"
33,user,"
ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.

Привет!
Прошу выставить счёт на АО «СтальМост».

Лист 4х1500х6000

09Г2С-14

19903-2015


2,4


6 листов


Профиль гн. 80х60х4


09Г2С-6


30245-2003


2,8

Профиль гн. 50х50х4


1,2

Уголок 50х50х5


8509-93


2,2

Уголок 75х75х5

2,4

Труба Ø102х2


Ст20


10704-91


0,25







Труба Ø159х2


1,2

Труба Ø194х2


0,7

Круг 40


40Х


2590-2006


0,1

Круг 55


0,2

Лист 4х1500х6000


Ст3сп5


19903-2015


2,9


10 листов

Лист 6х1500х6000


3


7 листов


лист 14х1500х6000


2


2 листа

Внимание!
В ООО «СтальМост» изменились КПП и Юр. Адрес  Верный КПП: 502701001  Верный Юридический адрес: 140004, Московская область, Г.О. Люберцы, г. Люберцы, ул. Железнодорожная, д.4, этаж 1, помещение 6

С уважением, Федоров Алексей Евгеньевич

___________________________________________
Начальник отдела закупок

Телефон: +7 (3452) 566-006 добавочный
Сотовый телефон:
Электронная почта: Fedorov@tmnkonst.ru
ООО ''Стальмост''

УВЕДОМЛЕНИЕ О КОНФИДЕНЦИАЛЬНОСТИ: Это электронное сообщение и любые документы, приложенные к нему, содержат конфиденциальную информацию. Настоящим уведомляем Вас о том, что если это сообщение не предназначено Вам, использование, копирование, распространение  информации, содержащейся в настоящем сообщении, а также осуществление любых действий на основе этой информации, строго запрещено. Если Вы получили это сообщение по ошибке, пожалуйста, сообщите об этом отправителю по электронной почте и удалите это сообщение.

"
34,assistant,"Лист 4 1500 6000 09Г2С-14 19903-2015 2,4 6 листов | шт | 6
Профиль гн 80 60 4 09Г2С–6 30245–2003 2,8 | шт | 2.8
Профиль гн 50 50 4 1,2 | шт | 1.2
Уголок 50 50 5 8509–93 2,2 | шт | 2.2
Уголок 75 75 5 2,4 | шт | 2.4
Труба Ø102 2 Ст20 10704–91 0,25 | м | 0.25
Труба Ø159 2 1,2 | м | 1.2
Труба Ø194 2 0,7 | м  | 0.7
Круг 40 40Х 2590–2006 0,1 | м | 0.1
Круг 55 0,2 | м | 0.2
Лист 4 1500 6000 Ст3сп5 19903–2015 10 листов | шт | 10
Лист 6 1500 6000 7 листов | шт | 7
Лист 14 1500 6000 2 листа | шт | 2"
35,user,"
ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.
Примите, пожалуйста, заявку на 01.04
Труба 25х25х1,5 профильная (м) 200 м
Труба 30х30х2 профильная     100 м
Уголок 32х32х4 г/к ст3пс5/сп5 ГОСТ 8509  (кг)     1000 кг
--
С уважение менеджер отдела снабжения Катаев Денис.  тел.8-953-688-40-71
"
36,assistant,"Труба 25х25х1,5 профильная (м) 200 м | м | 200
Труба 30х30х2 профильная (м) 100 м | м | 100
Уголок 32х32х4 г/к ст3пс5/сп5 ГОСТ 8509 (кг) 1000 кг | кг | 1000
"
37,user,"
ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.
Балка 36м ст.09г2с – 13,013тн
Угол 200х16 ст.09г2с – 0,6тн





Щуко Татьяна Геннадьевна
Менеджер отдела снабжения
ООО «Металлинвест Нижний Тагил»
8-3435-495777 доб.5226
89222104292


"
38,assistant,"Балка 36м ст.09г2с 13.013тн | тн | 13.013
Угол 200х16 ст.09г2с 0.6тн | тн | 0.6"
39,user,"
ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.
Доброе утрр!
 Труба 100х100 - 110 м.п.
 Уголок 45й - 50 м.п.
 Труба 50х50 - 10 м.п.
 Труба 50х20 - 20 м.п.
 Просечной лист 2х7 м
 7 листов 1250*2500 4мм
89507477861
 --
 Отправлено из Mail.ru для Android
"
40,assistant,"Труба 100х100 110 м.п. | мп | 110
Уголок 45й 50 м.п. | мп | 50
Труба 50х50 10 м.п. | мп | 10
Труба 50х20 20 м.п. | мп | 20
Просечной лист 2 7 м | шт | 2
7 листов 1250*2500 4мм | шт | 7
"
41,user,"
ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.
--
 Отправлено из Mail.ru для Android
 -------- Пересланное письмо --------
 От: Шарипов Дамир Ирекович 
sharipovdi@spk.ru
 Кому: Damir Sharipov 
damir.sharipov23@mail.ru
 Дата: среда, 19 июня 2024г., 17:20 +05:00
 Тема: заявка
Арматура ø10 А240 в прутках (L=11,7м) ГОСТ 34028-2016/ГОСТ 5781-82
Арматура ø12 А240 в прутках (L=11,7м) ГОСТ 34028-2016/ГОСТ 5781-82
Арматура ø32 А400 в прутках (L=11,7м) сталь 25Г2С ГОСТ 5781-82
Штрипса 0,8 ОЦ 137 мм 3 000,00 кг
Штрипса 0,6 ОЦ 137 мм 3 100,00 кг
балка 10Б1 2 шт
Лист 6 С245 ст3пс5 1 лист 1,5х6
Лист 8 
С245 ст3пс5 
2 листа 1,5х6
Уголок 100х7 С245 ст3пс5 3 хл Д=12
Уголок 110х8 С245 ст3пс5 24 хл Д=12
Уголок 63х5 С245 ст3пс5 54 хл Д=12
Уголок 70х6 С245 ст3пс5 15 хл Д=12
Уголок 80х6 С245 ст3пс5 17 хл Д=12
Уголок 90х7 С245 ст3пс5 18 хл Д=12
Швеллер 30У С245 ст3пс5 8 хл Д=12
Уголок 63х5 09Г2С С345 09Г2С 52 хл Д=12
Уголок 70х6 09Г2С С345 09Г2С 44 хл Д=12
Уголок 75х6 09Г2С С345 09Г2С 12 хл Д=12
8 мм г/к - 1000х1500 - 12 листов (1140 кг)
10 мм г/к - 1000х1500 - 3 листа (355 кг)             
Круг 10 ГОСТ 2590-2006 ст.3 — 115 шт по 6м
Круг 12 ГОСТ 2590-2006 ст.3 — 24 шт по 6м
Круг калиброванный  8 ГОСТ 7417-75 ст.20 ГОСТ 1050-2013 ГОСТ 1051-73 — 1шт по 6м
Лист 3*1250*2500 ГОСТ 16523-97 ст3сп5 — 1 лист
Лист 4*1500*6000 ГОСТ 19903-2015 ст.09Г2С — 1 лист
Лист 5*1500*6000 ГОСТ 19903-2015 ст.09Г2С — 1 лист
Угол 40*40*4 ГОСТ 8509-93 ст.3сп5 — 54шт по 12м
Угол 45*45*5 ГОСТ 8509-93 ст.3сп5 — 74шт по 12м
Угол 50*50*5 ГОСТ 8509-93 ст.3сп5 — 7шт по 12м
Угол 50*50*6 ГОСТ 8509-93 ст.3сп5 — 14 шт по 12м
Угол 63*63*5 ГОСТ 8509-93 ст.3сп5 — 14 шт по 12м
Угол 63*63*6 ГОСТ 8509-93 ст.3сп5 — 14 шт по 12м
Угол 70*70*6 ГОСТ 8509-93 ст.3сп5 — 8 шт по 12м
Угол 75*75*7 ГОСТ 8509-93 ст.3сп5 — 14 шт по 12м
Угол 80*80*7 ГОСТ 535-2005 ст.3сп5 — 8 шт по 12м
Угол 90*90*7 ГОСТ 8509-93 ст.3сп5 —  1 шт по 12м
 
 
 
Уважаемые коллеги и партнеры,
Наша Компания придерживается этических принципов ведения бизнеса и делает все для того, чтобы взаимоотношения с нашими партнерами строились на принципах открытости и прозрачности. Поэтому просим Вас сообщать нам обо всех  негативных фактах во взаимоотношениях с нашей компанией по адресу 
 doverie@scm.ru
. Вся информация поступает в независимую службу внутреннего аудита.
Претензии по качеству обслуживания или товара принимаются на телефон горячей линии 
8-800-7000-123
. Звонки по России бесплатно
"
42,assistant,"Арматура ø10 А240 в прутках (L=11,7м) ГОСТ 34028-2016/ГОСТ 5781-82 11.7 м | шт | 1
Арматура ø12 А240 в прутках (L=11,7м) ГОСТ 34028-2016/ГОСТ 5781-82 11.7 м | шт | 1
Арматура ø32 А400 в прутках (L=11,7м) сталь 25Г2С ГОСТ 5781-82 11.7 м | шт | 1
Штрипса 0,8 ОЦ 137 мм 3 000,00 кг | кг | 3000
Штрипса 0,6 ОЦ 137 мм 3 100,00 кг | кг | 3100
Балка 10Б1 2 шт | шт | 2
Лист 6 С245 ст3пс5 1 лист 1,5х6 | шт | 1
Лист 8 С245 ст3пс5 2 листа 1,5х6 | шт | 2
Уголок 100х7 С245 ст3пс5 3 хл Д=12 | шт | 3
Уголок 110х8 С245 ст3пс5 24 хл Д=12 | шт | 24
Уголок 63х5 С245 ст3пс5 54 хл Д=12 | шт | 54
Уголок 70х6 С245 ст3пс5 15 хл Д=12 | шт | 15
Уголок 80х6 С245 ст3пс5 17 хл Д=12 | шт | 17
Уголок 90х7 С245 ст3пс5 18 хл Д=12 | шт | 18
Швеллер 30У С245 ст3пс5 8 хл Д=12 | шт | 8
Уголок 63х5 09Г2С С345 09Г2С 52 хл Д=12 | шт | 52
Уголок 70х6 09Г2С С345 09Г2С 44 хл Д=12 | шт | 44
Уголок 75х6 09Г2С С345 09Г2С 12 хл Д=12 | шт | 12
8 мм г/к - 1000х1500 - 12 листов (1140 кг) | шт | 12
10 мм г/к - 1000х1500 - 3 листа (355 кг) 3 | шт | 3
Круг 10 ГОСТ 2590-2006 ст.3 — 115 шт по 6м | шт | 115
Круг 12 ГОСТ 2590-2006 ст.3 — 24 шт по 6м | шт | 24
Круг калиброванный  8 ГОСТ 7417-75 ст.20 ГОСТ 1050-2013 ГОСТ 1051-73 — 1шт по 6м | шт | 6
Лист 3*1250*2500 ГОСТ 16523-97 ст3сп5 — 1 лист | шт | 1
Лист 4*1500*6000 ГОСТ 19903-2015 ст.09Г2С — 1 лист | шт | 1
Лист 5*1500*6000 ГОСТ 19903-2015 ст.09Г2С — 1 лист| шт | 1
Угол 40*40*4 ГОСТ 8509-93 ст.3сп5 — 54шт по 12м | шт | 54
Угол 45*45*5 ГОСТ 8509-93 ст.3сп5 — 74шт по 12м | шт | 74
Угол 50*50*5 ГОСТ 8509-93 ст.3сп5 — 7шт по 12м | шт | 7
Угол 50*50*6 ГОСТ 8509-93 ст.3сп5 — 14 шт по 12м | шт | 14
Угол 63*63*5 ГОСТ 8509-93 ст.3сп5 — 14 шт по 12м | шт | 14
Угол 63*63*6 ГОСТ 8509-93 ст.3сп5 — 14 шт по 12м | шт | 14
Угол 70*70*6 ГОСТ 8509-93 ст.3сп5 — 8 шт по 12м | шт | 8
Угол 75*75*7 ГОСТ 8509-93 ст.3сп5 — 14 шт по 12м | шт | 14
Угол 80*80*7 ГОСТ 535-2005 ст.3сп5 — 8 шт по 12м | шт | 8
Угол 90*90*7 ГОСТ 8509-93 ст.3сп5 —  1 шт по 12м | шт | 1
"
